"parents","n","labels","id"
"Brazil",4," Game Show","Brazil  -   Game Show"
"Brazil",28," Horror","Brazil  -   Horror"
"Brazil",18," Music","Brazil  -   Music"
"Brazil",51," Musical","Brazil  -   Musical"
"Brazil",48," Mystery","Brazil  -   Mystery"
"Brazil",14," Reality TV","Brazil  -   Reality TV"
"Brazil",115," Romance","Brazil  -   Romance"
"Brazil",21," Sci Fi","Brazil  -   Sci Fi"
"Brazil",3," Short","Brazil  -   Short"
"Brazil",6," Sport","Brazil  -   Sport"
"Brazil",6," Talk Show","Brazil  -   Talk Show"
"Brazil",68," Thriller","Brazil  -   Thriller"
"Brazil",4," War","Brazil  -   War"
"Bulgaria",220," Action","Bulgaria  -   Action"
"Bulgaria",5," Adult","Bulgaria  -   Adult"
"Bulgaria",129," Adventure","Bulgaria  -   Adventure"
"Bulgaria",45," Animation","Bulgaria  -   Animation"
"Bulgaria",11," Biography","Bulgaria  -   Biography"
"Bulgaria",187," Comedy","Bulgaria  -   Comedy"
"Bulgaria",119," Crime","Bulgaria  -   Crime"
"Bulgaria",17," Documentary","Bulgaria  -   Documentary"
"Bulgaria",303," Drama","Bulgaria  -   Drama"
"Bulgaria",25," Family","Bulgaria  -   Family"
"Bulgaria",41," Fantasy","Bulgaria  -   Fantasy"
"Bulgaria",10," Game Show","Bulgaria  -   Game Show"
"Bulgaria",1," History","Bulgaria  -   History"
"Bulgaria",33," Horror","Bulgaria  -   Horror"
"Bulgaria",3," Music","Bulgaria  -   Music"
"Bulgaria",45," Mystery","Bulgaria  -   Mystery"
"Bulgaria",25," Reality TV","Bulgaria  -   Reality TV"
"Bulgaria",96," Romance","Bulgaria  -   Romance"
"Bulgaria",38," Sci Fi","Bulgaria  -   Sci Fi"
"Bulgaria",1," Short","Bulgaria  -   Short"
"Bulgaria",10," Sport","Bulgaria  -   Sport"
"Bulgaria",12," Talk Show","Bulgaria  -   Talk Show"
"Bulgaria",63," Thriller","Bulgaria  -   Thriller"
"Bulgaria",4," War","Bulgaria  -   War"
"Canada",150," Action","Canada  -   Action"
"Canada",7," Adult","Canada  -   Adult"
"Canada",102," Adventure","Canada  -   Adventure"
"Canada",52," Animation","Canada  -   Animation"
"Canada",24," Biography","Canada  -   Biography"
"Canada",181," Comedy","Canada  -   Comedy"
"Canada",134," Crime","Canada  -   Crime"
"Canada",29," Documentary","Canada  -   Documentary"
"Canada",262," Drama","Canada  -   Drama"
"Canada",24," Family","Canada  -   Family"
"Canada",33," Fantasy","Canada  -   Fantasy"
"Canada",1," Film Noir","Canada  -   Film Noir"
"Canada",7," Game Show","Canada  -   Game Show"
"Canada",4," History","Canada  -   History"
"Canada",37," Horror","Canada  -   Horror"
"Canada",3," Music","Canada  -   Music"
"Canada",1," Musical","Canada  -   Musical"
"Canada",71," Mystery","Canada  -   Mystery"
"Canada",36," Reality TV","Canada  -   Reality TV"
"Canada",81," Romance","Canada  -   Romance"
"Canada",23," Sci Fi","Canada  -   Sci Fi"
"Canada",2," Short","Canada  -   Short"
"Canada",10," Sport","Canada  -   Sport"
"Canada",11," Talk Show","Canada  -   Talk Show"
"Canada",84," Thriller","Canada  -   Thriller"
"Canada",5," War","Canada  -   War"
"Canada",2," Western","Canada  -   Western"
"Chile",138," Action","Chile  -   Action"
"Chile",3," Adult","Chile  -   Adult"
"Chile",123," Adventure","Chile  -   Adventure"
"Chile",77," Animation","Chile  -   Animation"
"Chile",5," Biography","Chile  -   Biography"
"Chile",199," Comedy","Chile  -   Comedy"
"Chile",103," Crime","Chile  -   Crime"
"Chile",7," Documentary","Chile  -   Documentary"
"Chile",333," Drama","Chile  -   Drama"
"Chile",20," Family","Chile  -   Family"
"Chile",24," Fantasy","Chile  -   Fantasy"
"Chile",2," History","Chile  -   History"
"Chile",30," Horror","Chile  -   Horror"
"Chile",36," Music","Chile  -   Music"
"Chile",44," Mystery","Chile  -   Mystery"
"Chile",4," Reality TV","Chile  -   Reality TV"
"Chile",121," Romance","Chile  -   Romance"
"Chile",20," Sci Fi","Chile  -   Sci Fi"
"Chile",1," Short","Chile  -   Short"
"Chile",7," Sport","Chile  -   Sport"
"Chile",9," Talk Show","Chile  -   Talk Show"
"Chile",62," Thriller","Chile  -   Thriller"
"Chile",5," War","Chile  -   War"
"Colombia",152," Action","Colombia  -   Action"
"Colombia",4," Adult","Colombia  -   Adult"
"Colombia",114," Adventure","Colombia  -   Adventure"
"Colombia",64," Animation","Colombia  -   Animation"
"Colombia",5," Biography","Colombia  -   Biography"
"Colombia",192," Comedy","Colombia  -   Comedy"
"Colombia",114," Crime","Colombia  -   Crime"
"Colombia",26," Documentary","Colombia  -   Documentary"
"Colombia",287," Drama","Colombia  -   Drama"
"Colombia",18," Family","Colombia  -   Family"
"Colombia",26," Fantasy","Colombia  -   Fantasy"
"Colombia",27," Horror","Colombia  -   Horror"
"Colombia",18," Music","Colombia  -   Music"
"Colombia",4," Musical","Colombia  -   Musical"
"Colombia",46," Mystery","Colombia  -   Mystery"
"Colombia",5," Reality TV","Colombia  -   Reality TV"
"Colombia",111," Romance","Colombia  -   Romance"
"Colombia",18," Sci Fi","Colombia  -   Sci Fi"
"Colombia",2," Short","Colombia  -   Short"
"Colombia",6," Sport","Colombia  -   Sport"
"Colombia",7," Talk Show","Colombia  -   Talk Show"
"Colombia",78," Thriller","Colombia  -   Thriller"
"Colombia",4," War","Colombia  -   War"
"Costa Rica",134," Action","Costa Rica  -   Action"
"Costa Rica",4," Adult","Costa Rica  -   Adult"
"Costa Rica",105," Adventure","Costa Rica  -   Adventure"
"Costa Rica",62," Animation","Costa Rica  -   Animation"
"Costa Rica",6," Biography","Costa Rica  -   Biography"
"Costa Rica",206," Comedy","Costa Rica  -   Comedy"
"Costa Rica",103," Crime","Costa Rica  -   Crime"
"Costa Rica",11," Documentary","Costa Rica  -   Documentary"
"Costa Rica",323," Drama","Costa Rica  -   Drama"
"Costa Rica",24," Family","Costa Rica  -   Family"
