"id","n","label","parent"
"total -  Action  -  Dominican Republic",184,"Dominican Republic","total -  Action"
"total -  Adventure  -  Dominican Republic",116,"Dominican Republic","total -  Adventure"
"total -  Animation  -  Dominican Republic",54,"Dominican Republic","total -  Animation"
"total -  Comedy  -  Dominican Republic",156,"Dominican Republic","total -  Comedy"
"total -  Crime  -  Dominican Republic",119,"Dominican Republic","total -  Crime"
"total -  Drama  -  Dominican Republic",286,"Dominican Republic","total -  Drama"
"total -  Music  -  Dominican Republic",33,"Dominican Republic","total -  Music"
"total -  Mystery  -  Dominican Republic",41,"Dominican Republic","total -  Mystery"
"total -  Romance  -  Dominican Republic",86,"Dominican Republic","total -  Romance"
"total -  Thriller  -  Dominican Republic",79,"Dominican Republic","total -  Thriller"
"total -  Action  -  Ecuador",156,"Ecuador","total -  Action"
"total -  Adventure  -  Ecuador",125,"Ecuador","total -  Adventure"
"total -  Animation  -  Ecuador",71,"Ecuador","total -  Animation"
"total -  Comedy  -  Ecuador",203,"Ecuador","total -  Comedy"
"total -  Crime  -  Ecuador",94,"Ecuador","total -  Crime"
"total -  Drama  -  Ecuador",277,"Ecuador","total -  Drama"
"total -  Music  -  Ecuador",32,"Ecuador","total -  Music"
"total -  Mystery  -  Ecuador",37,"Ecuador","total -  Mystery"
"total -  Romance  -  Ecuador",103,"Ecuador","total -  Romance"
"total -  Thriller  -  Ecuador",68,"Ecuador","total -  Thriller"
"total -  Action  -  Egypt",187,"Egypt","total -  Action"
"total -  Adventure  -  Egypt",106,"Egypt","total -  Adventure"
"total -  Animation  -  Egypt",54,"Egypt","total -  Animation"
"total -  Comedy  -  Egypt",180,"Egypt","total -  Comedy"
"total -  Crime  -  Egypt",115,"Egypt","total -  Crime"
"total -  Drama  -  Egypt",318,"Egypt","total -  Drama"
"total -  Fantasy  -  Egypt",35,"Egypt","total -  Fantasy"
"total -  Horror  -  Egypt",35,"Egypt","total -  Horror"
"total -  Mystery  -  Egypt",44,"Egypt","total -  Mystery"
"total -  Romance  -  Egypt",90,"Egypt","total -  Romance"
"total -  Thriller  -  Egypt",86,"Egypt","total -  Thriller"
